gene,correlation,p_value
ENSG00000232444.1,0.3998901003203352,9.34800781763106e-14
ENSG00000254751.2,0.34871951517964517,1.307547254537609e-10
ENSG00000233803.8,0.3461586652559523,1.8184297573281027e-10
ENSG00000228876.1,0.3357057204339642,6.777157850997082e-10
ENSG00000228927.9,0.3329043177787472,9.562607189726808e-10
ENSG00000280314.1,0.3327295437178718,9.769116262787375e-10
ENSG00000233969.1,0.33126081216920755,1.168426588563731e-09
ENSG00000250102.5,0.3299627767123022,1.3676332810813127e-09
ENSG00000181689.1,0.3278538482812754,1.7634606670107861e-09
ENSG00000181984.11,0.32468575273290107,2.574104836698917e-09
ENSG00000274196.4,0.3180950562820358,5.5759235978733396e-09
ENSG00000244302.1,0.3141978016928312,8.730265249597342e-09
ENSG00000224662.2,0.31384123808657516,9.092892723809947e-09
ENSG00000171487.14,0.3137430181691738,9.195316154842942e-09
ENSG00000278810.1,0.31061765983635425,1.3104965489999836e-08
ENSG00000254203.1,0.30940108325505744,1.5026191204172845e-08
ENSG00000237802.6,0.30682358629605355,2.0037151922235362e-08
ENSG00000265316.1,0.3064753593443399,2.0827148972841255e-08
ENSG00000259571.1,0.30613172573840736,2.163618328247965e-08
ENSG00000238074.4,0.3057429050540093,2.258822806920809e-08
ENSG00000254408.1,0.30509495471703435,2.4265358226619365e-08
ENSG00000254734.1,0.3049519094505636,2.4651498718426158e-08
ENSG00000225451.1,0.3047719542501358,2.5145711314246728e-08
ENSG00000259256.1,0.3038263842940002,2.7903896755348274e-08
ENSG00000256971.1,0.302093876755279,3.37339278808027e-08
ENSG00000227015.1,0.29965597555235657,4.396520908885784e-08
ENSG00000259023.2,0.29956484653585874,4.4400602832981e-08
ENSG00000188379.6,0.2980390434273631,5.233908456458236e-08
ENSG00000261730.1,0.29766700506241073,5.4473088404482706e-08
ENSG00000167900.11,0.2939970183421325,8.055198107042449e-08
ENSG00000232817.1,0.29290874606513967,9.036464482399805e-08
ENSG00000229301.1,0.29290874606513967,9.036464482399805e-08
ENSG00000249012.2,0.29255340222401915,9.381107778267507e-08
ENSG00000231722.1,0.29137925594431485,1.0612288321373881e-07
ENSG00000258992.5,0.29136774009917293,1.062510184542477e-07
ENSG00000248308.1,0.29066043071059017,1.144133431747533e-07
ENSG00000139800.8,0.2904359151588031,1.1712819245179688e-07
ENSG00000258265.1,0.2902121262180048,1.198959381586546e-07
ENSG00000043355.10,0.28714140100381763,1.6485401198675118e-07
ENSG00000255279.1,0.2866704646710387,1.7304685792365188e-07
ENSG00000236437.1,0.2853406625280193,1.9835163444577705e-07
ENSG00000230066.5,0.2840218168970461,2.2694312542563818e-07
ENSG00000227832.1,0.28352398244935534,2.387339772027383e-07
ENSG00000249226.1,0.28298406367158646,2.52186957819516e-07
ENSG00000236718.3,0.28275312356178306,2.5816113832014015e-07
ENSG00000234950.1,0.282753123561783,2.5816113832014015e-07
ENSG00000238235.1,0.282753123561783,2.5816113832014015e-07
ENSG00000215540.10,0.282753123561783,2.5816113832014015e-07
ENSG00000249016.1,0.282753123561783,2.5816113832014015e-07
ENSG00000259247.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000259053.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000243877.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000222704.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000237069.2,0.28275312356178295,2.5816113832014015e-07
ENSG00000259878.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000223633.2,0.28275312356178295,2.5816113832014015e-07
ENSG00000258969.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000239225.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000237527.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000188439.3,0.28275312356178295,2.5816113832014015e-07
ENSG00000253359.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000248425.1,0.28275312356178295,2.5816113832014015e-07
ENSG00000226092.4,0.2827531235617829,2.5816113832014545e-07
ENSG00000258613.1,0.28065198668438573,3.191404573778579e-07
ENSG00000228235.1,0.28008528480530626,3.378236637254811e-07
ENSG00000223691.1,0.2794225110897353,3.610082874591146e-07
ENSG00000273919.1,0.27889818383430587,3.80425233816776e-07
ENSG00000215520.3,0.27827054288338704,4.0498854031814624e-07
ENSG00000228383.6,0.27720435969570256,4.50244526383073e-07
ENSG00000185231.4,0.2770326287975341,4.5797364396395054e-07
ENSG00000260087.1,0.27698227951003185,4.6026376385021807e-07
ENSG00000185638.9,0.2769613926340008,4.612170190030256e-07
ENSG00000258751.1,0.27678458537731554,4.693625994941533e-07
ENSG00000225560.6,0.27459571091798296,5.823648733444737e-07
ENSG00000168757.12,0.2726289124355736,7.058029810694921e-07
ENSG00000276527.1,0.2720039740022109,7.500227615107743e-07
ENSG00000261350.1,0.2712355353951147,8.080440188215863e-07
ENSG00000281080.1,0.26997955276106156,9.122480048708503e-07
ENSG00000279783.1,0.2678467079627923,1.1193362034794274e-06
ENSG00000230271.1,0.26604136552553953,1.329137951083133e-06
ENSG00000235008.1,0.26371884000068735,1.6548304532402607e-06
ENSG00000257331.1,0.26315229344498464,1.7451629878910877e-06
ENSG00000182667.14,0.26182683108128246,1.975288469785506e-06
ENSG00000250585.1,0.26139183633833374,2.0569397282772706e-06
ENSG00000236355.2,0.26133748202591794,2.067366312309077e-06
ENSG00000223729.1,0.2612159797477626,2.090856650054621e-06
ENSG00000230798.5,0.2611950133735084,2.0949358580730743e-06
ENSG00000271287.1,0.25954861148211095,2.44013504865672e-06
ENSG00000233015.1,0.25837481171910726,2.7187470812995544e-06
ENSG00000117148.7,0.2583440926535045,2.7264315699446754e-06
ENSG00000251643.1,0.25802587095865437,2.8072661119986114e-06
ENSG00000264771.1,0.25725445069833786,3.0128299169293754e-06
ENSG00000248173.5,0.25703617530530093,3.0735549530303395e-06
ENSG00000250250.1,0.2566688806763205,3.178383769673785e-06
ENSG00000263110.1,0.2552665826443163,3.610872622818852e-06
ENSG00000268089.2,0.2543445792962513,3.9252367492085255e-06
ENSG00000176887.6,0.25365360629828526,4.177767571979544e-06
ENSG00000230159.1,0.25350825143874456,4.232828205262359e-06
ENSG00000236424.7,0.2533112384344227,4.3085626052048264e-06
ENSG00000260983.1,0.25228102978567524,4.726101245580187e-06
ENSG00000253659.1,0.2517128992053799,4.972583299930985e-06
ENSG00000185033.14,0.2512565261475155,5.1794055793264075e-06
ENSG00000170312.15,0.25121450041262666,5.198857933854672e-06
ENSG00000227011.3,0.2503387079106447,5.620434974331632e-06
ENSG00000279931.1,0.24950986811697565,6.049255972040372e-06
ENSG00000170144.18,0.24950637068717108,6.051129798357735e-06
ENSG00000255380.1,0.2492760476822998,6.175754876810089e-06
ENSG00000255976.1,0.248977014030866,6.341208745605283e-06
